#,Priority,Category,Segment,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,Additional Info (paste product facts here),Dan Murphy price
122,P2,Wine,,Chateau de Maligny Chablis Vieilles Vignes 2025,chateau-de-maligny-chablis-vieilles-vignes-2025-01.jpg,chateau-de-maligny-chablis-vieilles-vignes-2025-02.jpg,123.99,84.18,,
123,P2,Wine,,Seppeltsfield Para 21 Year Old Tawny,seppeltsfield-para-21-year-old-tawny-01.jpg,seppeltsfield-para-21-year-old-tawny-02.jpg,119.99,81.38,,
124,P2,Wine,,Petaluma Yellow Label Cabernet Merlot,petaluma-yellow-label-cabernet-merlot-01.jpg,petaluma-yellow-label-cabernet-merlot-02.jpg,119.99,81.36,,
125,P2,Wine,,Chateau de Maligny Chablis Carre de Cesar 2025,chateau-de-maligny-chablis-carre-de-cesar-2025-01.jpg,chateau-de-maligny-chablis-carre-de-cesar-2025-02.jpg,117.99,79.92,,
126,P2,Wine,,Tar & Roses Local Hero Barolo,tar-roses-local-hero-barolo-01.jpg,tar-roses-local-hero-barolo-02.jpg,116.99,79.48,,
127,P2,Wine,,Xanadu Stevens Road Cabernet Sauvignon,xanadu-stevens-road-cabernet-sauvignon-01.jpg,xanadu-stevens-road-cabernet-sauvignon-02.jpg,112.99,76.86,,
128,P2,Wine,,Beaurenard Chateau Blanc Chateauneuf du Pape,beaurenard-chateau-blanc-chateauneuf-du-pape-01.jpg,beaurenard-chateau-blanc-chateauneuf-du-pape-02.jpg,108.99,74.02,,
129,P2,Wine,,Cloudy Bay Te Koko,cloudy-bay-te-koko-01.jpg,cloudy-bay-te-koko-02.jpg,107.99,73.54,,
130,P2,Wine,,Kilikanoon Tregea Cabernet Sauvignon 2018,kilikanoon-tregea-cabernet-sauvignon-2018-01.jpg,kilikanoon-tregea-cabernet-sauvignon-2018-02.jpg,107.99,73.31,,
131,P2,Wine,,Oakridge 864 Cabernet Sauvignon Winery Block,oakridge-864-cabernet-sauvignon-winery-block-01.jpg,oakridge-864-cabernet-sauvignon-winery-block-02.jpg,106.99,72.37,,
132,P2,Wine,,Oakridge 864 Pinot Noir Block A4,oakridge-864-pinot-noir-block-a4-01.jpg,oakridge-864-pinot-noir-block-a4-02.jpg,106.99,72.37,,
133,P2,Wine,,Oakridge 864 Syrah,oakridge-864-syrah-01.jpg,oakridge-864-syrah-02.jpg,106.99,72.37,,
134,P2,Wine,,Xanadu Stevens Road Chardonnay,xanadu-stevens-road-chardonnay-01.jpg,xanadu-stevens-road-chardonnay-02.jpg,103.99,70.24,,
135,P2,Wine,,Farina Amarone della Valpolicella Classico DOCG Veneto Italy,farina-amarone-della-valpolicella-classico-docg-veneto-italy-01.jpg,farina-amarone-della-valpolicella-classico-docg-veneto-italy-02.jpg,101.99,69.3,,
136,P2,Wine,,Fontanafredda Serralunga d'Alba Barolo DOCG Italy,fontanafredda-serralunga-d-alba-barolo-docg-italy-01.jpg,fontanafredda-serralunga-d-alba-barolo-docg-italy-02.jpg,99.99,67.55,,
137,P2,Wine,,Vignoble Dauny Sancerre Rouge Pynoz 2024,vignoble-dauny-sancerre-rouge-pynoz-2024-01.jpg,vignoble-dauny-sancerre-rouge-pynoz-2024-02.jpg,96.99,65.73,,
138,P2,Wine,,Millebuis Bourgogne Montagny Premier Cru 2022,millebuis-bourgogne-montagny-premier-cru-2022-01.jpg,millebuis-bourgogne-montagny-premier-cru-2022-02.jpg,94.99,64.67,,
139,P2,Wine,,Seppeltsfield Para Rare Tawny NV 15 Year Old,seppeltsfield-para-rare-tawny-nv-15-year-old-01.jpg,seppeltsfield-para-rare-tawny-nv-15-year-old-02.jpg,92.99,62.77,,
140,P2,Wine,,Villebois Sancerre Blanc Marne,villebois-sancerre-blanc-marne-01.jpg,villebois-sancerre-blanc-marne-02.jpg,91.99,62.44,,
141,P2,Wine,,Tenuta Meraviglia Rosso Bolgheri DOC 2020,tenuta-meraviglia-rosso-bolgheri-doc-2020-01.jpg,tenuta-meraviglia-rosso-bolgheri-doc-2020-02.jpg,90.99,61.96,,
142,P2,Wine,,Donne Fittipaldi Bolgheri Tuscany 2022,donne-fittipaldi-bolgheri-tuscany-2022-01.jpg,donne-fittipaldi-bolgheri-tuscany-2022-02.jpg,90.99,61.49,,
143,P2,Wine,,Chateau d'Esclans Rock Angel,chateau-d-esclans-rock-angel-01.jpg,chateau-d-esclans-rock-angel-02.jpg,88.99,60.65,,
144,P2,Wine,,Vignoble Dauny AOC Sancerre Blanc Les Caillottes 2025,vignoble-dauny-aoc-sancerre-blanc-les-caillottes-2025-01.jpg,vignoble-dauny-aoc-sancerre-blanc-les-caillottes-2025-02.jpg,88.99,60.06,,
145,P2,Wine,,Piazzo Barolo Valente DOCG 2020,piazzo-barolo-valente-docg-2020-01.jpg,piazzo-barolo-valente-docg-2020-02.jpg,87.99,59.72,,
146,P2,Wine,,Petaluma Yellow Label Chardonnay,petaluma-yellow-label-chardonnay-01.jpg,petaluma-yellow-label-chardonnay-02.jpg,87.99,59.56,,
147,P2,Wine,,Casali del Barone Barolo 2020,casali-del-barone-barolo-2020-01.jpg,casali-del-barone-barolo-2020-02.jpg,84.99,57.94,,
148,P2,Wine,,Piazzo Barbaresco Arge DOCG 2021,piazzo-barbaresco-arge-docg-2021-01.jpg,piazzo-barbaresco-arge-docg-2021-02.jpg,83.99,56.76,,
149,P2,Wine,,Cloudy Bay Pinot Noir,cloudy-bay-pinot-noir-01.jpg,cloudy-bay-pinot-noir-02.jpg,80.99,54.94,,
150,P2,Wine,,Chateau de Maligny Petit Chablis 2023,chateau-de-maligny-petit-chablis-2023-01.jpg,chateau-de-maligny-petit-chablis-2023-02.jpg,78.99,53.32,,
151,P2,Wine,,Dow's Colheita Tawny Port Portugal,dow-s-colheita-tawny-port-portugal-01.jpg,dow-s-colheita-tawny-port-portugal-02.jpg,77.99,52.77,,
152,P2,Wine,,Yalumba Signature Cabernet Shiraz,yalumba-signature-cabernet-shiraz-01.jpg,yalumba-signature-cabernet-shiraz-02.jpg,77.99,52.57,,
153,P2,Wine,,Hentley Farm Old Legend Grenache,hentley-farm-old-legend-grenache-01.jpg,hentley-farm-old-legend-grenache-02.jpg,76.99,57,,
154,P2,Wine,,Petaluma Yellow Label Shiraz,petaluma-yellow-label-shiraz-01.jpg,petaluma-yellow-label-shiraz-02.jpg,76.99,52.03,,
155,P2,Wine,,Laroche Chablis St Martin,laroche-chablis-st-martin-01.jpg,laroche-chablis-st-martin-02.jpg,76.99,52.43,,
156,P2,Wine,,Chateau Galeteau Cuvee Eleonore Saint Emilion Grand Cru 2022,chateau-galeteau-cuvee-eleonore-saint-emilion-grand-cru-2022-01.jpg,chateau-galeteau-cuvee-eleonore-saint-emilion-grand-cru-2022-02.jpg,75.99,51.32,,
157,P2,Wine,,Patrick Piuze 2023 Petit Chablis,patrick-piuze-2023-petit-chablis-01.jpg,patrick-piuze-2023-petit-chablis-02.jpg,75.99,51.54,,
