Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,RUM WHITE,21,52,0.34%,BUNDABERG HAMILTON WHTRUM700ML,307821,,,,,,
,RUM WHITE,22,24,0.30%,LULA RUM                 700ML,255003,,,,,,
,RUM WHITE,23,15,0.28%,DEADMANS FGS C/NUT RUM   700ML,673633,,,,,,
,RUM WHITE,24,17,0.25%,STOLEN RUM WHITE 37.5% 700ML,304433,9421902113000,,core-extract,6.0,46.56,
,RUM WHITE,25,13,0.23%,BACARDI RESERVA OCHO 40%    1L,67366,,,,,,
,SCOTCH,1,2,14.68%,J/WALKER RED LBL            1L,995938,5000267099026,,core-extract,6.0,62.93,
,SCOTCH,2,1,13.40%,CHIVAS REGAL SCOTCH 12YO 700ML,557099,0080432402931,,core-extract,6.0,52.49,
,SCOTCH,3,3,8.20%,J/WALKER RED LBL         700ML,566666,5000267014203,,core-extract,12.0,44.82,
,SCOTCH,4,4,7.58%,GRANTS SCOTCH               1L,774578,5010327253749,,core-extract,6.0,59.29,
,SCOTCH,5,6,5.27%,GRANTS SCOTCH            700ML,566886,5010327250007,,core-extract,12.0,43.53,
,SCOTCH,6,5,4.96%,J/WALKER BLACK LABEL     700ML,14452,5000267189611,,core-extract,12.0,48.99,YES
