Range? (y/n),Brand,ALM description,Category,Supplier,ALM item code,Barcode (GTIN),Carton size,Unit cost ex GST,Retail @25% GP ex GST,On promo,Notes
,JACOBS,JACOBS CK LP ROSE        750ML,WINE STILL ROSE,VINARCHY AUSTRALIA,640994,9311043403484,6,9.69,14.99,Y,
,ST,STONEHAVEN SS ROSE       750ML,WINE STILL ROSE,DEM BONES WINES PTY,465551,9352694071219,12,9.43,13.99,,
,ANGOVE,ANGOVE ORGANIC ROSE      750ML,WINE STILL ROSE,VINTAGE HOUSE WINE & SPIR,881919,9300694000890,6,9.41,13.99,Y,
,TAYLORS,TAYLORS PROM ROSE        750ML,WINE STILL ROSE,TAYLORS WINES PTY LTD,253438,9311659002552,6,9.20,13.99,Y,
,ZILZIE,ZILZIE BTW ROSE          750ML,WINE STILL ROSE,ZILZIE WINES PTY LTD,814077,9329337002985,12,9.19,13.99,,
,ST,NUGAN EST 3RD GEN SHZROSE750ML,WINE STILL ROSE,NUGAN ESTATE PTY LTD,938245,9329056003539,12,9.03,13.99,,
,BERTON,BERTON METAL ROSE        750ML,WINE STILL ROSE,BERTON VINEYARDS P/L,19436,9335966004870,6,8.65,12.99,Y,
,MCGUIGAN,MCGUIGAN S/BATCH ROSE    750ML,WINE STILL ROSE,AUSTRALIAN VINTAGE-DOMEST,304124,9310415017434,6,8.40,12.99,Y,
,DE,UPSIDE DOWN ROSE         750ML,WINE STILL ROSE,TREASURY WINE ESTATES,939592,9415305000357,6,8.20,12.99,Y,
,JACOBS,JACOBS CK SHIRAZ ROSE    750ML,WINE STILL ROSE,VINARCHY AUSTRALIA,568561,9311043405914,12,7.56,11.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL ROSE    750ML,WINE STILL ROSE,AUSTRALIAN VINTAGE-DOMEST,378204,9311471001665,6,6.79,9.99,Y,
,PETALUMA,PETALUMA YL CHARDONNAY   750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,522052,9338979018490,6,59.56,87.99,,
,PENFOLDS,PENFOLDS BIN311 CHARD 25 750ML,WINE STILL WHITE,PENFOLDS WINES INTERNATIO,525152,9310297070022,6,41.73,61.99,,
,PENFOLDS,PENFOLDS BIN51 EV RIES26 750ML,WINE STILL WHITE,PENFOLDS WINES INTERNATIO,524931,9310297075898,6,34.66,50.99,,
,ST,RIORRET EAST RIDGE CHARD 750ML,WINE STILL WHITE,DE BORTOLI WINES PTY LIMI,930792,9300752088204,6,31.52,46.99,,
,ST,LOST FARM TAS CHARDONNAY 750ML,WINE STILL WHITE,VINTAGE HOUSE WINE & SPIR,873568,9300694001408,6,31.30,45.99,,
,PETALUMA,PETALUMA YL RIESLING     750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,540424,9338979029649,6,31.11,45.99,,
,ATA,CATALINA SOUNDS CHARD    750ML,WINE STILL WHITE,JOVAL WINE GROUP PTY LTD,383754,9316128002330,6,27.28,40.99,,
,HENSCHKE,HENSCHKE INNES  PNT GRIS 750ML,WINE STILL WHITE,JOVAL WINE GROUP PTY LTD,582002,9320909034069,6,23.58,34.99,,
,KATNOOK,KATNOOK CHARDONNAY       750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,530063,9311043876745,6,23.55,34.99,,
,PIPER,PIPERS TAS PINOT GRIS    750ML,WINE STILL WHITE,PURE WINE COMPANY PTY LTD,743878,9315314991144,6,21.98,32.99,,
