Title,Cost,Old price,New price,Change,New GP% (ex-GST)
Piazzo Barbaresco Pajore DOCG 2021,83.96,111.99,123.99,+12.00,25.5
Chateau de Maligny Chablis Vieilles Vignes 2025,84.18,112.99,123.99,+11.00,25.3
Seppeltsfield Para 21 Year Old Tawny,81.38,108.99,119.99,+11.00,25.4
Petaluma Yellow Label Cabernet Merlot,81.36,108.99,119.99,+11.00,25.4
Chateau de Maligny Chablis Carre de Cesar 2025,79.92,106.99,117.99,+11.00,25.5
Tar & Roses Local Hero Barolo,79.48,105.99,116.99,+11.00,25.3
Xanadu Stevens Road Cabernet Sauvignon,76.86,102.99,112.99,+10.00,25.2
Penfolds Grandfather Rare Tawny,75.49,100.99,110.99,+10.00,25.2
Beaurenard Chateau Blanc Chateauneuf du Pape,74.02,98.99,108.99,+10.00,25.3
Cloudy Bay Te Koko,73.54,98.99,107.99,+9.00,25.1
Kilikanoon Tregea Cabernet Sauvignon 2018,73.31,97.99,107.99,+10.00,25.3
Oakridge 864 Cabernet Sauvignon Winery Block,72.37,96.99,106.99,+10.00,25.6
Oakridge 864 Pinot Noir Block A4,72.37,96.99,106.99,+10.00,25.6
Oakridge 864 Syrah,72.37,96.99,106.99,+10.00,25.6
Xanadu Stevens Road Chardonnay,70.24,93.99,103.99,+10.00,25.7
Farina Amarone della Valpolicella Classico DOCG Veneto Italy,69.30,92.99,101.99,+9.00,25.3
Fontanafredda Serralunga d'Alba Barolo DOCG Italy,67.55,90.99,99.99,+9.00,25.7
Vignoble Dauny Sancerre Rouge Pynoz 2024,65.73,87.99,96.99,+9.00,25.5
Millebuis Bourgogne Montagny Premier Cru 2022,64.67,86.99,94.99,+8.00,25.1
Seppeltsfield Para Rare Tawny NV 15 Year Old,62.77,83.99,92.99,+9.00,25.7
Villebois Sancerre Blanc Marne,62.44,83.99,91.99,+8.00,25.3
Tenuta Meraviglia Rosso Bolgheri DOC 2020,61.96,82.99,90.99,+8.00,25.1
Donne Fittipaldi Bolgheri Tuscany 2022,61.49,81.99,90.99,+9.00,25.7
Chateau d'Esclans Rock Angel,60.65,80.99,88.99,+8.00,25.0
