Product,Vendor,Status,Filename 01 (front - featured),Filename 02 (back label),Filename 03 (gift box),Shopify handle
Greywacke Chardonnay - Marlborough New Zealand,Greywacke,DRAFT,greywacke-chardonnay-marlborough-new-zealand-01.jpg,greywacke-chardonnay-marlborough-new-zealand-02.jpg,greywacke-chardonnay-marlborough-new-zealand-03.jpg,greywacke-chardonnay-marlborough-new-zealand
Greywacke Pinot Noir Marlborough New Zealand,Greywacke,DRAFT,greywacke-pinot-noir-marlborough-new-zealand-01.jpg,greywacke-pinot-noir-marlborough-new-zealand-02.jpg,greywacke-pinot-noir-marlborough-new-zealand-03.jpg,greywacke-pinot-noir-marlborough-new-zealand
Greywacke Wild Sauvignon,Greywacke,DRAFT,greywacke-wild-sauvignon-01.jpg,greywacke-wild-sauvignon-02.jpg,greywacke-wild-sauvignon-03.jpg,greywacke-wild-sauvignon
Grosset Polish Hill,Grosset,DRAFT,grosset-polish-hill-01.jpg,grosset-polish-hill-02.jpg,grosset-polish-hill-03.jpg,grosset-polish-hill
Grosset Springvale,Grosset,DRAFT,grosset-springvale-01.jpg,grosset-springvale-02.jpg,grosset-springvale-03.jpg,grosset-springvale
Hardys Eileen Hardy Chardonnay V21,Hardys,DRAFT,hardys-eileen-hardy-chardonnay-v21-01.jpg,hardys-eileen-hardy-chardonnay-v21-02.jpg,hardys-eileen-hardy-chardonnay-v21-03.jpg,hardys-eileen-hardy-chardonnay-v21
Henri Bourgeois Sancerre,Henri Bourgeois,DRAFT,henri-bourgeois-sancerre-01.jpg,henri-bourgeois-sancerre-02.jpg,henri-bourgeois-sancerre-03.jpg,henri-bourgeois-sancerre
Henschke Keyneton Estate,Henschke,DRAFT,henschke-keyneton-estate-01.jpg,henschke-keyneton-estate-02.jpg,henschke-keyneton-estate-03.jpg,henschke-keyneton-estate
Hentley Farm Clos Otto Shiraz,Hentley Farm,DRAFT,hentley-farm-clos-otto-shiraz-01.jpg,hentley-farm-clos-otto-shiraz-02.jpg,hentley-farm-clos-otto-shiraz-03.jpg,hentley-farm-clos-otto-shiraz
Hentley Farm Old Legend Grenache,Hentley Farm,DRAFT,hentley-farm-old-legend-grenache-01.jpg,hentley-farm-old-legend-grenache-02.jpg,hentley-farm-old-legend-grenache-03.jpg,hentley-farm-old-legend-grenache
Hentley Farm Quint Shiraz,Hentley Farm,DRAFT,hentley-farm-quint-shiraz-01.jpg,hentley-farm-quint-shiraz-02.jpg,hentley-farm-quint-shiraz-03.jpg,hentley-farm-quint-shiraz
House of Arras Blanc de Blancs,House of Arras,DRAFT,house-of-arras-blanc-de-blancs-01.jpg,house-of-arras-blanc-de-blancs-02.jpg,house-of-arras-blanc-de-blancs-03.jpg,house-of-arras-blanc-de-blancs
